Cant 1:1
ὡς C--------- ὡς
μικρὸν A1A-ASM--- μικρός
ὅτε D--------- ὅτε
παρῆλθον VBI-AAI1S- ἔρχομαι παρα
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
εὗρον VB--AAI1S- εὑρίσκω
ὃν RR--ASM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἐκράτησα VAI-AAI1S- κρατέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἀφήσω VF--FAI1S- ἵημι ἀπο
αὐτόν RD--ASM--- αὐτός
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
εἰσήγαγον VBI-AAI1S- ἄγω εἰς
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
μητρός N3--GSF--- μήτηρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἰς P--------- εἰς
ταμίειον N2N-ASN--- ταμιεῖον
τῆς RA--GSF--- ὁ
συλλαβούσης V1--PAPGSF λαμβάνω συν
με RP--AS---- ἐγώ

Cant 3:5
ὥρκισα VAI-AAI1S- ὁρκίζω
ὑμᾶς RP--AP---- σύ
θυγατέρες N3--VPF--- θυγάτηρ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
δυνάμεσιν N3I-DPF--- δύναμις
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἰσχύσεσιν N3U-DPF--- ἰσχύς
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
ἐὰν C--------- ἐάν
ἐγείρητε VA--AAS2P- ἐγείρω
καὶ C--------- καί
ἐξεγείρητε VA--AAS2P- ἐγείρω ἐκ
τὴν RA--ASF--- ὁ
ἀγάπην N1--ASF--- ἀγάπη
ἕως C--------- ἕως
ἂν X--------- ἄν
θελήσῃ VA--AAS3S- θέλω

Cant 3:6
τίς RI--NSF--- τίς
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ἀναβαίνουσα V1--PAPNSF βαίνω ἀνα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἐρῆμος
ὡς C--------- ὡς
στελέχη N3E-NPN--- στέλεχος
καπνοῦ N2--GSM--- καπνός
τεθυμιαμένη VM--XPPNSF θυμιάω
σμύρναν N1S-ASF--- σμύρνα
καὶ C--------- καί
λίβανον N2--ASM--- λίβανος
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
κονιορτῶν N2--GPM--- κονιορτός
μυρεψοῦ N2--GSM--- μυρεψός

Cant 3:7
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
κλίνη N1--NSF--- κλίνη
τοῦ RA--GSM--- ὁ
Σαλωμων N---GSM--- Σαλωμών
ἑξήκοντα M--------- ἑξήκοντα
δυνατοὶ A1--NPM--- δυνατός
κύκλῳ N2--DSM--- κύκλος
αὐτῆς RD--GSF--- αὐτός
ἀπὸ P--------- ἀπό
δυνατῶν A1--GPM--- δυνατός
Ισραηλ N---GPM--- Ἰσραήλ

Cant 3:8
πάντες A3--NPM--- πᾶς
κατέχοντες V1--PAPNPM ἔχω κατα
ῥομφαίαν N1A-ASF--- ῥομφαία
δεδιδαγμένοι VK--XPPNPM διδάσκω
πόλεμον N2--ASM--- πόλεμος
ἀνὴρ N3--NSM--- ἀνήρ
ῥομφαία N1A-NSF--- ῥομφαία
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
μηρὸν N2--ASM--- μηρός
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
θάμβους N3E-GSN--- θάμβος
ἐν P--------- ἐν
νυξίν N3--DSF--- νύξ

Cant 3:9
φορεῖον N2N-NSN--- φορεῖον
ἐποίησεν VAI-AAI3S- ποιέω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
