αὐτοῦ RD--GSM--- αὐτός
ἀποστήσατέ VA--AAD2P- ἵστημι ἀπο
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
μάχης N1--GSF--- μάχη
ἠσθένησα VAI-AAI1S- ἀσθενέω
γὰρ X--------- γάρ
λίαν D--------- λίαν
καὶ C--------- καί
εὐθέως D--------- εὐθέως
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
παῖδες N3D-NPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
παρατάξεως N3I-GSF--- παράταξις

Ezr 1:29
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἅρμα N3M-ASN--- ἅρμα
τὸ RA--ASN--- ὁ
δευτέριον A1A-ASN--- δευτέριον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀποκατασταθεὶς VC--APPNSM ἵστημι ἀπο κατα
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
μετήλλαξεν VAI-AAI3S- ἀλλάσσω μετα
τὸν RA--ASM--- ὁ
βίον N2--ASM--- βίος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐτάφη VDI-API3S- θάπτω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
πατρικῷ A1--DSM--- πατρικός
τάφῳ N2--DSM--- τάφος

Ezr 1:30
καὶ C--------- καί
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία
ἐπένθησαν VAI-AAI3P- πενθέω
τὸν RA--ASM--- ὁ
Ιωσιαν N1T-ASM--- Ιωσίας
καὶ C--------- καί
ἐθρήνησεν VAI-AAI3S- θρηνηέω
Ιερεμιας N1T-NSM--- Ἰερεμίας
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
ὑπὲρ P--------- ὑπέρ
Ιωσιου N1T-GSM--- Ιωσίας
καὶ C--------- καί
οἱ RA--NPM--- ὁ
προκαθήμενοι V5--PMPNPM ἧμαι προ κατα
σὺν P--------- σύν
γυναιξὶν N3K-DPF--- γυνή
ἐθρηνοῦσαν VAI-AAI3P- θρηνέω
αὐτὸν RD--ASM--- αὐτός
ἕως C--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
καὶ C--------- καί
ἐξεδόθη VCI-API3S- δίδωμι ἐκ
τοῦτο RD--NSN--- οὗτος
γίνεσθαι V1--PMN--- γίγνομαι
αἰεὶ D--------- ἀεί
